Year,Population,Variable
1960,180671000,"US Population"
1961,"183691000","US Population"
1962,"186538000","US Population"
1963,"189242000","US Population"
1964,"191889000","US Population"
1965,"194303000","US Population"
1966,"196560000","US Population"
1967,"198712000","US Population"
1968,"200706000","US Population"
1969,"202677000","US Population"
1970,"205052000","US Population"
1971,"207661000","US Population"
1972,"209896000","US Population"
1973,"211909000","US Population"
1974,"213854000","US Population"
1975,"215973000","US Population"
1976,"218035000","US Population"
1977,"220239000","US Population"
1978,"222585000","US Population"
1979,"225055000","US Population"
1980,"227726000","US Population"
1981,"229966000","US Population"
1982,"232188000","US Population"
1983,"234307000","US Population"
1984,"236348000","US Population"
1985,"238466000","US Population"
1986,"240651000","US Population"
1987,"242804000","US Population"
1988,"245021000","US Population"
1989,"247342000","US Population"
1990,"250132000","US Population"
1991,"253493000","US Population"
1992,"256894000","US Population"
1993,"260255000","US Population"
1994,"263436000","US Population"
1995,"266557000","US Population"
1996,"269667000","US Population"
1997,"272912000","US Population"
1998,"276115000","US Population"
1999,"279295000","US Population"
2000,"282384579","US Population"
2001,"285309019","US Population"
2002,"288104818","US Population"
2003,"290819634","US Population"
2004,"293463185","US Population"
2005,"296186216","US Population"
2006,"298995825","US Population"
2007,"302003917","US Population"
2008,"304797761","US Population"
2009,"307439406","US Population"
